date,ticker,return_1m,index_return,target,return_lag1,ret_3m,ret_6m,vol_3m,vol_6m,excess_return,rank_ret_3m,inflation,unemployment,interest_rate
2016-02-01,SAN.PA,-0.04389287806977327,-0.032623037422002565,0,-0.026081291350751656,-0.17590928545434525,-0.23115228233064367,0.02891397867192719,0.06510549544722467,-0.011269840647770701,0.3,0.3,7.1,-0.3
2016-03-01,SAN.PA,-0.03183490586947557,0.020089936905923755,1,-0.04389287806977327,-0.138474084520941,-0.17501449866741758,0.02129983776813128,0.05816235258789354,-0.05192484277539933,0.45,-0.1,7.2,-0.3
2016-04-01,SAN.PA,0.017640337769279313,0.007747278581023309,1,-0.03183490586947557,-0.1018090752900005,-0.1696486567521347,0.009089842270931405,0.058055312515622036,0.009893059188256004,0.25,0.0,7.4,-0.4
2016-05-01,SAN.PA,0.021910908888541858,0.01164715128284266,1,0.017640337769279313,-0.058087446169969525,-0.23399673162431478,0.032607593896189155,0.03496344086824906,0.010263757605699197,0.15,-0.3,6.9,-0.4
2016-06-01,SAN.PA,0.06018570902302245,-0.06487393144445008,0,0.021910908888541858,0.007716340788345599,-0.1307577437325954,0.029873762498224567,0.03536718712266988,0.12505964046747253,0.3,-0.1,7.3,-0.4
2016-07-01,SAN.PA,0.01641759424779421,0.04399003747664376,0,0.06018570902302245,0.09973695568084362,-0.002072119609156875,0.023428283185564246,0.040082797152270186,-0.027572443228849552,0.85,0.1,6.8,-0.4
2016-08-01,SAN.PA,-0.09297454072096056,0.01082329339070287,0,0.01641759424779421,0.09851421215935852,0.04042676598938899,0.02384248554595433,0.03834262682358869,-0.10379783411166343,0.75,0.2,6.9,-0.4
2016-09-01,SAN.PA,-0.02070357357680408,-0.006910021529968335,1,-0.09297454072096056,-0.016371237450143905,-0.008654896661798306,0.0788884752521337,0.05353198731795079,-0.013793552046835744,0.3,0.2,7.2,-0.4
2016-10-01,SAN.PA,0.04908337581338329,0.01765681955408449,1,-0.02070357357680408,-0.09726052004997043,0.002476435630873186,0.05562929831428163,0.05244999042003741,0.0314265562592988,0.1,0.4,6.8,-0.4
2016-11-01,SAN.PA,0.07257619860408249,-0.0011913567066933473,0,0.04908337581338329,-0.06459473848438135,0.03391947367497716,0.07103257779265669,0.05596833166432848,0.07376755531077583,0.05,0.5,7.0,-0.4
2016-12-01,SAN.PA,0.010379767208145818,0.07828978922579855,0,0.07257619860408249,0.1009560008406617,0.08458476339051779,0.04851674440503659,0.062367959997686115,-0.06791002201765273,0.7,0.6,7.0,-0.4
2017-01-01,SAN.PA,-0.03133950390064777,-0.01818560213444609,1,0.010379767208145818,0.1320393416256116,0.03477882157564116,0.03140668219803998,0.058180869930466866,-0.013153901766201681,0.55,1.1,7.1,-0.4
2017-02-01,SAN.PA,0.09182439628510108,0.027526767634975524,0,-0.03133950390064777,0.051616461911580536,-0.012978276572800818,0.052293031542278025,0.05968453238109193,0.06429762865012556,0.35,1.7,7.0,-0.4
2017-03-01,SAN.PA,0.04045249350558677,0.05462081941893149,1,0.09182439628510108,0.07086465959259913,0.17182066043326083,0.06264060383954508,0.05041101918650491,-0.014168325913344715,0.3,2.0,7.0,-0.4
2017-04-01,SAN.PA,0.023516784897998244,0.01675559276975025,1,0.04045249350558677,0.10093738589004009,0.23297672751565168,0.06186343776918343,0.044245115392286004,0.006761192128247995,0.5,1.5,6.5,-0.4
2017-05-01,SAN.PA,0.018011804471329773,-0.0014046561195373286,1,0.023516784897998244,0.1557936746886861,0.20741013660026664,0.03557110342829906,0.04429118280420587,0.019416460590867102,0.7,1.9,6.9,-0.4
2017-06-01,SAN.PA,-0.018600114080699726,-0.03170835519462378,0,0.018011804471329773,0.08198108287491479,0.15284574246751392,0.011695494573206391,0.0403530804189421,0.013108241113924057,0.4,1.4,6.9,-0.4
2017-07-01,SAN.PA,-0.03629413936743331,0.0021732962404437117,1,-0.018600114080699726,0.02292847528862829,0.12386586117866838,0.02289312330934164,0.044083084610373004,-0.03846743560787702,0.5,1.3,6.7,-0.4
2017-08-01,SAN.PA,0.011645124282583685,-0.008085597284765877,0,-0.03629413936743331,-0.03688244897680326,0.11891122571188284,0.027696710536111623,0.04528171916432122,0.019730721567349563,0.25,1.3,7.0,-0.4
2017-09-01,SAN.PA,0.028777884352265914,0.05067416298775651,0,0.011645124282583685,-0.04324912916554935,0.03873195370936544,0.024241926401055942,0.02850501305329338,-0.021896278635490596,0.25,1.5,6.5,-0.4
2017-10-01,SAN.PA,-0.03237705429186155,0.022003658390984393,0,0.028777884352265914,0.004128869267416291,0.027057344556044582,0.033729494358025074,0.02600942893170974,-0.054380712682845944,0.15,1.6,6.9,-0.4
2017-11-01,SAN.PA,-0.05769473536600411,-0.0283128569832779,0,-0.03237705429186155,0.008045954342988049,-0.028836494633815213,0.031547345885754724,0.02778889173053676,-0.029381878382726212,0.15,1.4,7.0,-0.4
2017-12-01,SAN.PA,-0.062010481283687136,-0.01847934608419821,0,-0.05769473536600411,-0.06129390530559975,-0.1045430344711491,0.04445676824451588,0.03219446992187424,-0.043531135199488924,0.1,1.5,6.5,-0.4
2018-01-01,SAN.PA,-0.010159990315164569,0.03006029729198678,0,-0.062010481283687136,-0.1520822709415528,-0.1479534016741365,0.016009115284101424,0.03702682229020752,-0.04022028760715135,0.05,1.3,6.7,-0.4
2018-02-01,SAN.PA,-0.08562997022676111,-0.047192128169683656,1,-0.010159990315164569,-0.12986520696485582,-0.12181925262186777,0.028771082309474092,0.03692136279969705,-0.038437842057077454,0.05,1.3,6.8,-0.4
2018-03-01,SAN.PA,0.004613307763041252,-0.02252424041493739,0,-0.08562997022676111,-0.1578004418256128,-0.21909434713121256,0.038604990047629996,0.04119648269087171,0.027137548177978643,0.05,1.1,5.9,-0.4
2018-04-01,SAN.PA,0.007041233601302599,0.05206604775583812,1,0.004613307763041252,-0.09117665277888443,-0.24325892372043723,0.048404230920979584,0.034107980709579,-0.04502481415453552,0.2,1.4,6.2,-0.4
2018-05-01,SAN.PA,-0.002431986529157104,-0.03672257373640253,1,0.007041233601302599,-0.07397542886241726,-0.20384063582727308,0.05281681560696905,0.03938373672544236,0.034290587207245427,0.2,1.2,6.5,-0.4
2018-06-01,SAN.PA,0.09653168251228839,-0.003243598551144866,1,-0.002431986529157104,0.009222554835186747,-0.14857788699042607,0.004920584233265454,0.03918816585094894,0.09977528106343325,0.5,2.0,6.0,-0.4
2018-07-01,SAN.PA,0.0833213223012308,0.038252411603998615,1,0.09653168251228839,0.10114092958443388,0.009964276805549455,0.05460782931667505,0.05799019101274487,0.04506891069723218,0.65,2.0,6.6,-0.4
2018-08-01,SAN.PA,-0.005109603172861132,-0.03760898151970371,1,0.0833213223012308,0.17742101828436208,0.10344558942194482,0.05373073512495829,0.06616128488604475,0.03249937834684258,1.0,2.2,6.5,-0.4
2018-09-01,SAN.PA,0.03473431298862395,0.0018568330954216172,1,-0.005109603172861132,0.17474340164065805,0.1839659564758448,0.05526525905853287,0.04631007191502409,0.03287747989320233,1.0,2.1,6.5,-0.4
2018-10-01,SAN.PA,0.02978033300213978,-0.0593345329205236,1,0.03473431298862395,0.11294603211699361,0.2140869617014275,0.044287439357811945,0.04451968408708518,0.08911486592266338,0.95,2.1,6.6,-0.4
2018-11-01,SAN.PA,0.01230360464966651,-0.007624722636884629,1,0.02978033300213978,0.0594050428179026,0.23682606110226467,0.021715536753998694,0.0425168388869995,0.01992832728655114,0.95,2.3,6.5,-0.4
2018-12-01,SAN.PA,-0.051998346875365975,-0.05411375117910555,0,0.01230360464966651,0.07681825064043024,0.2515616522810883,0.011783566439467263,0.039961043847101224,0.0021154043037395764,0.9,1.9,6.6,-0.4
2019-01-01,SAN.PA,0.00211455914432479,0.05264508595215678,0,-0.051998346875365975,-0.009914409223559684,0.10303162289343393,0.04306570461968815,0.04505073970444902,-0.05053052680783199,0.85,1.5,6.8,-0.4
2019-02-01,SAN.PA,-0.03059869512218627,0.04394149613342058,1,0.00211455914432479,-0.037580183081374674,0.021824859736527924,0.034560970800730034,0.03130411949098277,-0.07454019125560685,0.25,1.4,6.3,-0.4
2019-03-01,SAN.PA,0.07129252453769097,0.01620549957056694,0,-0.03059869512218627,-0.08048248285322745,-0.003664232212797214,0.027252855195247304,0.034313441199992356,0.05508702496712403,0.05,1.5,6.9,-0.4
2019-04-01,SAN.PA,-0.01587503684566771,0.04860508759667037,0,0.07129252453769097,0.04280838855982949,0.03289397933626981,0.05202173991779553,0.043783821010234605,-0.06448012444233808,0.15,1.4,7.4,-0.4
2019-05-01,SAN.PA,-0.06775075145809506,-0.06663314319565228,1,-0.01587503684566771,0.02481879256983699,-0.012761390511537685,0.05507084908603748,0.04266956043179283,-0.0011176082624427819,0.05,1.7,6.6,-0.4
2019-06-01,SAN.PA,0.095088163617145,0.058913012560207534,0,-0.06775075145809506,-0.0123332637660718,-0.09281574661929926,0.07026415174624016,0.04926173149789812,0.03617515105693747,0.4,1.2,6.6,-0.4
2019-07-01,SAN.PA,-0.005928175936879221,-0.00196904267950615,1,0.095088163617145,0.011462375313382234,0.054270763873211725,0.08318697202324979,0.062316016509430035,-0.003959133257373071,0.25,1.3,6.4,-0.4
2019-08-01,SAN.PA,0.03525041985999233,-0.011563836555185225,1,-0.005928175936879221,0.021409236222170724,0.046228028792007714,0.08220182881567746,0.0625808527775273,0.04681425641517756,0.55,1.0,7.3,-0.4
2019-09-01,SAN.PA,0.0888378072790903,0.041639899204966246,0,0.03525041985999233,0.12441040754025812,0.11207714377418632,0.05079457514775035,0.06025072897568485,0.04719790807412405,0.75,1.0,7.3,-0.4
2019-10-01,SAN.PA,-0.028685663219763513,0.009794215191621491,0,0.0888378072790903,0.11816005120220341,0.12962242651558564,0.047518200753493875,0.0636451136241768,-0.038479878411385005,0.85,0.8,6.8,-0.5
2019-11-01,SAN.PA,0.02287573845205415,0.027513564892398312,1,-0.028685663219763513,0.09540256391931912,0.11681180014148984,0.058837625331756516,0.06534602623153214,-0.004637826440344162,0.7,0.7,6.9,-0.5
2019-12-01,SAN.PA,0.06046627596855303,0.011224227191489744,0,0.02287573845205415,0.08302788251138093,0.20743829005163905,0.05890859980285868,0.04977156394296224,0.049242048777063285,0.5,1.0,7.7,-0.5
2020-01-01,SAN.PA,-0.029792480011323508,-0.027833329226459202,1,0.06046627596855303,0.05465635120084367,0.17281640240304708,0.04475804380998489,0.042882732568565424,-0.0019591507848643053,0.5,1.3,6.8,-0.5
2020-02-01,SAN.PA,-0.03473259517912386,-0.08553354227173882,1,-0.029792480011323508,0.05354953440928367,0.1489520983286028,0.04533878541587457,0.04759598564696057,0.050800947092614956,0.65,1.4,7.4,-0.5
2020-03-01,SAN.PA,-0.04515653230907901,-0.16296492540361418,1,-0.03473259517912386,-0.004058799221894338,0.0789690832894866,0.05359395618397355,0.052818719338731,0.11780839309453517,0.75,1.2,7.8,-0.5
2020-04-01,SAN.PA,0.11292707881724429,0.05060462673175681,0,-0.04515653230907901,-0.10968160749952638,-0.05502525629868271,0.007843439999649475,0.0415469971279513,0.06232245208548748,0.75,0.7,6.8,-0.5
2020-05-01,SAN.PA,-0.01861188861484875,0.04175988578481382,1,0.11292707881724429,0.033037951329041415,0.08658748573832509,0.08841423895197502,0.06295313664141536,-0.06037177439966257,0.9,0.3,8.2,-0.5
2020-06-01,SAN.PA,0.07377567935648943,0.06028133241457101,0,-0.01861188861484875,0.049158657893316526,0.04509985867142219,0.08465375180570707,0.06410796511942238,0.013494346941918423,0.85,0.1,8.5,-0.5
2020-07-01,SAN.PA,-0.023166109488593656,-0.01847517176098501,0,0.07377567935648943,0.16809086955888497,0.05840926205935859,0.06754109211990318,0.06649244897492589,-0.004690937727608646,0.55,0.3,9.1,-0.5
2020-08-01,SAN.PA,-0.04155830411730965,0.030932590063924792,1,-0.023166109488593656,0.03199768125304703,0.06503563258208844,0.054702093299236434,0.06575556810165319,-0.07249089418123444,0.15,0.4,9.6,-0.5
2020-09-01,SAN.PA,0.005419925956086535,-0.02410990405172231,0,-0.04155830411730965,0.009051265750586124,0.05820992364390265,0.06196492420673685,0.06675315653591155,0.029529830007808844,0.1,-0.2,9.3,-0.5
2020-10-01,SAN.PA,-0.09328492975616076,-0.07370973242391443,0,0.005419925956086535,-0.05930448764981677,0.1087863819090682,0.02367272814349204,0.06142068453708736,-0.01957519733224633,0.25,-0.3,9.0,-0.5
2020-11-01,SAN.PA,0.09486889252575637,0.1806261506724367,0,-0.09328492975616076,-0.12942330791738388,-0.09742562666433685,0.049371460112745326,0.055140746205975276,-0.08575725814668034,0.25,-0.3,8.7,-0.5
2020-12-01,SAN.PA,-0.07094782354459583,0.017208064286575064,1,0.09486889252575637,0.007003888725682139,0.016055154476268263,0.09411484739477682,0.07126739968544457,-0.0881558878311709,0.15,-0.3,8.6,-0.5
2021-01-01,SAN.PA,-0.01969506833886947,-0.020041420837676238,0,-0.07094782354459583,-0.06936386077500023,-0.128668348424817,0.10279104247741129,0.06673778256326651,0.0003463524988067679,0.1,-0.3,9.2,-0.5
